id,title,content,alt-names,category,context triggers,sustainability nudge
27,Kaizō-ji,"Founded as a Shingon temple in 1253, all of Kaizō-ji's buildings were burned down a century later and rebuilt as a Zen temple of the Rinzai school.  Though smaller than the headline temples, it offers some of the best flower-viewing in Kamakura, including tantalizing glimpses of the Shinjii-ke pond garden behind the main hall.","海蔵寺, Kaizoji Temple, Flower temple",temples_zen,GPS: near Kita-Kamakura; User asks “Kaizō-ji” / “flower temple” / “camellias”,"“When peeking in at the pond garden, think about the Japanese aesthetic of not showing everything.””"
28,Eishō-ji,"Founded in 1636 by  Lady Okachi, a concubine of Tokugawa Ieyasu, Eishō-ji is Kamakura’s only convent.. In the Edo period, noblewomen from the Mito Tokugawa family served as head nuns, leading to the temple's nickname of “The Mito Nunnery.” Many of its structures are designated Important Cultural Properties.Look for the Tokugawa clan emblem, a three-leaf hollyhock, in the hall and on other buildings.","英勝寺, The Mito Nunnery, Eishoji",temples_zen,GPS: near Kamakura Station west side; User asks “Tokugawa temple” / “nunnery” / “Eishō-ji”,"“Support the upkeep of smaller temples with a modest donation—this helps preserve women’s religious heritage, which often receives less funding.”"
29,Ennō-ji,"Founded in 1250, Ennō-ji is known for itsmagnificent wooden statue of Enma-ō, the King of the Underworld, who presides over the Ten Kings, demon attendants, and guardian deities in the main hall. It offers a fascinating glimpse into medieval Buddhist views of the afterlife and karmic judgment.","円応寺, Ennoji, Temple of Enma",temples_zen,GPS: near Kita-Kamakura Station; User asks “Enma temple” / “hell judges” / “Buddhist afterlife”,"“Be mindful of photos—these statues are cultural treasures, not props for horror shots. Quiet contemplation honors their meaning.”"
30,Chōjū-ji,"Originally founded by Ashikaga Takauji in 1336, Chōjū-ji holds Takauji’s memorial, tying it to the turbulent Nanboku-chō era. Its beautiful dry landscape garden was redesigned in 2007 by the Kyoto-based landscape master Sone Zōen. Chōjū-ji is only open to the public for a few months a year, so check opening hours and days before you go.","長寿寺, Chōjuji, Ashikaga temple",temples_zen,GPS: near Kita-Kamakura; User asks “Ashikaga Takauji” / “Chōjū-ji” / “Nanbokuchō”,"“Remember to stay on the paths so as to avoid damaging the delicate beauty of the temple's various gardens."" "
31,Tōkei-ji,"Tōkei-ji was established in 1285 by Kakusan Shidō, widow of Hōjō Tokimune, who followed the upper-class tradition of the time of becoming a nun to pray for her husband's repose. But she also sheltered women seeking refuge from abusive marriages for the three (later two) years required before they could divorce. Known as the “divorce temple,” it remained a rare lifeline for women until the 19th century.","東慶寺, Tokeiji, Divorce Temple",temples_zen,GPS: near Kita-Kamakura Station; User asks “divorce temple” / “women’s refuge” / “abbess Tenshū”,“Reflect quietly on this temple’s social role—avoid treating it as a novelty; it represents centuries of women’s struggle for autonomy.”
32,Kamakura-gū,"Commissioned in 1869 by Emperor Meiji, Kamakura-gū enshrines Prince Morinaga, who was imprisoned and later executed at the site during the turbulent 14th century. A modern-style shrine, it carries both political and historical significance. The lion-head amulets are modeled after Morinaga's battlefield talisman and are believed to offer protection, fortune and safe travels. ","鎌倉宮, Kamakura-gū, Prince Morinaga Shrine",shrines_shinto,"GPS: near Tōkaidō road, east Kamakura; User asks “Prince Morinaga” / “Meiji shrine” / “Kamakura-gu”","“Be considerate when joining ceremonies—shrines like this are active sites of worship, not just tourist landmarks.”"
33,Egara Tenjin Jinja,"Dedicated to Sugawara no Michizane, deity of learning, Egara Tenjin is popular with students praying for exam success. Founded in 1104, it is among Kamakura’s oldest Shintō shrines, and like all Tenjin shrines, it was originally built to appease the vengeful spirit of Michizane, who died in exile in Kyushu due to political machinations.  ","荏柄天神社, Egara Tenjin, Tenmangū of Kamakura",shrines_shinto,GPS: near Kamakura east hills; User asks “Tenjin shrine” / “Michizane” / “exam prayers”,“The shrine's 900-year-old ginkgo tree is a great reminder of Japan's ancient history. Take a moment to breath and reflect on the passing of time.”
34,Kakuon-ji,"Founded in 1218, Kakuon-ji is a Shingon temple known for its fine Buddhist statuary and structures, as well as the many yagura caves once used as burial sites but more recently for Buddhist rituals and training. Visitors are allowed to enter the temple only on the hourly scheduled tours guided by Kakuon-ji's monks.","覚園寺, Kakuonji, Hidden Buddhas temple",temples_zen,GPS: in Kamakura’s hills; User asks “yagura caves” / “Kakuon-ji” / “ascetic temple”,"“Respect the no-photos policy—rare treasures are preserved best through memory and mindful observation, not cameras.”"
35,Zuisen-ji,"Founded in 1327 by the priest, garden designer, poet and philosoher Musō Soseki, Zuisen-ji is a Rinzai Zen temple listed as a Place of Outstanding Scenic Beauty for its exquisite gardens. Following the downfall of the Kamakura shogunate in 1333, Soseki opened the temple's gates to wounded samurai and their families. ","瑞泉寺, Zuisenji, Temple of Flowers",temples_zen,GPS: end of Kamakura’s hiking trails; User asks “Zen garden” / “Musō Soseki” / “Zuisen-ji”,“Stay on the marked paths—garden preservation depends on visitors not straying into fragile moss and flower areas.”
36,Myōō-in,"A small Shingon temple dedicated to Fudō Myōō, guardian deity of wisdom and fire. The temple’s main hall houses statues of the Five Wisdom Kings, arranged according to Esoteric Buddhist cosmology. Aim to visit is on the 28th of the month when the goma fire ritual takes place.","明王院, Myōōin, Fudō Myōō temple",temples_zen,GPS: near Kamakura’s eastern hills; User asks “Fudō Myōō” / “guardian deity” / “Myōō-in”,“Photography is not allowed—take the opportunity to quietly connect with the statues and space.”
37,Myōhō-ji,"Founded by Nichiren’s disciple Nichirō, Myōhō-ji is said to have been home to Nichiren after he returned from his exile in Izu in 1263. Often called ""the moss temple"" for its 50-odd moss-covered stone steps leading up to the Hokkedō hall from the Deva gate. ","妙法寺, Myōhōji",temples_zen,GPS: near Kamakura hills; User asks “Nichiren temple” / “Myōhō-ji”,"“The mossy steps are centuries old and fragile—visitors are asked to keep off, but are welcome to take photos.”"
38,Ankokuron-ji,"Founded where Nichiren is said to have started writing his treatise Risshō Ankokuron on spreading peace through the land by establishing the true Dharma. The grounds contain caves associated with Nichiren’s life and persecution, including a legend about being saved and fed by white monkeys during the Matsubagayatsu Persecution!","安国論寺, Ankokuronji, Nichiren’s Cave Temple",temples_zen,GPS: near Komachi area; User asks “Nichiren cave” / “Ankokuron” / “peace of the land”,“Respect cave sanctuaries—avoid touching or leaning on the stone walls to help preserve them.”
39,Anyō-in,"A Jōdo temple with a complex history, it was originally built by Hōjō Masako as a memorial temple for her late husband Minamoto Yoritomo. Despite following tradition and taking Buddhist vows, she went on to wield so much political power that she became known as the 'nun shōogun'. ","安養院, Anyōin, nun shōgun temple",temples_zen,GPS: near Hase area; User asks “nun shōgun” / “Anyō-in” / “rhododenron temple”,“Rhododenron season often overlaps with Golden Week—arrive early to avoid the crowds.”
40,Jōei-ji,"Founded in the Kamakura period, tiny Jōei-ji was a training ground for monks for centuries. Nicknamed Botamochi-dera after the legend of Nichiren receiving rice cakes here, this modest backstreet temple is a calm stop off the main tourist track.","常栄寺, Botamochi Temple, small Nichiren temple",temples_zen,GPS: central Kamakura; User asks “Jōei-ji” / “Nichiren temple” / “Botamochi Temple”,"“By visiting smaller temples like this, you help distribute foot traffic more evenly across Kamakura.”"
41,Chōshō-ji,"Founded in 1263, Chōshō-ji is one of three temples claiming to be the former home of the founder of Nichiren Buddhism. Slightly remote, it remains peaceful even during peak seasons and has some great Buddhist statuary.","長勝寺, Chōshōji, Nichiren’s temple",temples_zen,GPS: near Komachi area; User asks “Chōshō-ji” / “Nichiren” / “early temple”,"“Show respect during chanting services—Nichiren temples remain active religious centers, not just historical sites.”"
42,Kuhon-ji,"Constructed in 1336 by Yoshisada Nitta, the general who led the attack on the Kamakura shogunatate, Kuhon-ji marks the spot where the devout general prayed for the souls of the fallen enemy soldiers after the battle. The name refers to the nine levels of rebirth in Jōdo Buddhism.","九品寺, Kuhonji, Nitta Temple",temples_zen,GPS: hillside near central Kamakura; User asks “Kuhon-ji” / “Nitta” / “Jōdo Buddhism”,"“This is a small family-run temple, so make sure to be a good guest in their home."""
43,Taihō-ji,"A small Nichiren temple with ties to the medieval Kamakura period. Many visit the temple to pray for safe childbirth and child-rearing, making it an important spiritual center for the local community. The principal statue, Sanbō Soshi, represents the Buddhist treasures of Buddha, Dharma, and Sangha, and is deeply revered by worshippers seeking peace and comfort.","大宝寺, Taihōji, Small Nichiren temple",temples_zen,GPS: central Kamakura; User asks “Taihō-ji” / “small temple” / “Nichiren”,“Be a courteous and generous visitor and support small temples like this with a coin offering.”
44,Yakumo-jinja,"One of Kamakura’s oldest Shintō shrines, this simple, rustic little shrine was founded around 1082 and dedicated to Susanoo-no-Mikoto, a powerful protective deity, back when Japan was struggling with a series of terrible epidemics. It's hidden near the base of the mountains in the Omachi neighborhood.","八雲神社, Yakumo Shrine, Susanoo shrine",shrines_shinto,GPS: near Ōmachi; User asks “Yakumo shrine” / “Susanoo” / “oldest shrines”,“Move quietly through residential lanes—remember you’re passing locals’ doorsteps on the way to this shrine.”
45,Yui Wakamiya,Originally founded by Minamoto Yoriyoshi in 1063 as a guardian shrine before the construction of Tsurugaoka Hachimangū. This humble little shring marks the historical and spiritual beginning of the Genji (Minamoto) clan in eastern Japan. ,"由比若宮, Moto Hachiman, Yui Wakamiya Shrine",shrines_shinto,GPS: near Zaimokuza; User asks “Moto Hachiman” / “Yui Wakamiya” / “Yoritomo’s ancestor shrine”,“Move quietly through residential lanes—remember you’re passing locals’ doorsteps on the way to this shrine.”
46,Enoshima-jinja,"A Shintō shrine complex dedicated to Benzaiten, goddess of music, fortune, and the sea. With three pavilions pread across Enoshima Island, it blends mythology with coastal views and has been a pilgrimage site since the 6th century.","江島神社, Enoshima Shrine, Benzaiten Shrine",shrines_shinto,GPS: Enoshima Island; User asks “Benzaiten” / “Enoshima shrine” / “sea goddess”,“Keep to designated paths—coastal ecosystems on Enoshima are fragile and easily damaged by foot traffic.”
48,Ryūkō-ji,"Site of Nichiren’s near-execution in 1271. Just ast Nichiren was about to be beheaded, a celestial light struck the executioner’s sword, sparing Nichiren’s life. Today it stands as a key site of Nichiren devotion. Its wooden five-story pagoda, built in 1910, is the only remaining wooden pagoda in Kanagawa Prefecture.","龍口寺, Ryūkoji, Dragon’s Mouth Temple",temples_zen,GPS: near Enoshima Station; User asks “Nichiren execution site” / “Ryūkō-ji” ,“Treat the grounds with respect—this is both a memorial of persecution and a living center of Nichiren faith.”
49,Koyurugi-jinja,"A seaside shrine dedicated to the goddess of the waves, historically visited by Minamoto Yoritomo. The name refers to a mysterious pine tree that would sway even when there was no wind. Offers sweeping views of the Sagami Bay coastline, blending nature and spirituality.","小動神社, Koyurugi Shrine, Seaside shrine",shrines_shinto,GPS: near Koshigoe coast; User asks “Koyurugi shrine” / “seaside shrine” / “Yoritomo visit”,“Keep the shore clean—this shrine’s beauty depends on visitors leaving no trace along the seaside paths.”
